gene,source,drug
CACNB4,TEND,VERAPAMIL
ALDH1A1,DTC,PIRINIXIC ACID
,TTD,
,TTD,
RAB9A,DTC,CHEMBL260311
CYP1A2,DTC,DEXPROPRANOLOL
ALK,MyCancerGenome,ASP-3026
CYP2C9,DTC,CYTARABINE
PDK1,TTD,
VEGFA,NCI,
KDM4A,DTC,CLOFAZIMINE
IRAK4,GuideToPharmacology,
TUBA3E,ChemblInteractions,COLCHICINE
HRH4,GuideToPharmacology,MK-0249
PTGER4,TdgClinicalTrial,DINOPROSTONE
HTR2A,TTD,ZOTEPINE
HTR2B,GuideToPharmacology,
BCHE,TTD,
CHRM2,TdgClinicalTrial,DOXACURIUM
RRM1,CIViC,VINORELBINE
GABRE,TdgClinicalTrial,CHLORDIAZEPOXIDE
TUBB,GuideToPharmacology,PACLITAXEL
GRM2,GuideToPharmacology,
RET,CIViC,SORAFENIB
APLNR,TTD,
SLC6A4,TdgClinicalTrial,DULOXETINE
BRAF,CIViC,
VHL,JAX-CKB,EVEROLIMUS
ADRB1,DTC,SALMETEROL
FLT3,GuideToPharmacology,LINIFANIB
CYP2D6,DTC,FLUNISOLIDE
DRD2,TdgClinicalTrial,ASENAPINE
PRKCB,TdgClinicalTrial,BRYOSTATIN
RORC,DTC,DOMIPHEN BROMIDE
TOP2B,TTD,
BLM,DTC,"5,7-DIHYDROXYISOFLAVONE"
TP53,DTC,CAULIBUGULONE D
DRD1,DTC,PROMAZINE
JAK2,MyCancerGenome,RUXOLITINIB
TH,TTD,PHENYLALANINE
HTR2C,TTD,
AGTR1,TdgClinicalTrial,TASOSARTAN
,TTD,
CYP2D6,DTC,CHEMBL31741
PDGFRB,TALC,PAZOPANIB
PDE4C,ChemblInteractions,OXTRIPHYLLINE
FLT1,MyCancerGenomeClinicalTrial,VANDETANIB
GMNN,DTC,CHEMBL1503729
BRCA1,DTC,DOXORUBICIN HYDROCHLORIDE
HDAC11,TTD,
GFER,DTC,TRIMEPRAZINE TARTRATE
PTEN,CIViC,
CFTR,PharmGKB,
CDKN2A,JAX-CKB,RIGOSERTIB
AVPR2,GuideToPharmacology,
APOA5,PharmGKB,SIMVASTATIN
PRKCQ,GuideToPharmacology,
CCR2,GuideToPharmacology,
TNF,NCI,HYDROXYCHLOROQUINE
CCR2,GuideToPharmacology,
GNB3,PharmGKB,
LCK,GuideToPharmacology,
ALK,CancerCommons,ASP-3026
HDAC11,ChemblInteractions,PANOBINOSTAT LACTATE
OPRD1,DTC,CHEMBL409225
KRAS,JAX-CKB,IMGATUZUMAB
PDGFRA,DoCM,IMATINIB
FURIN,GuideToPharmacology,
CDC25B,TTD,
STAT3,DTC,NICLOSAMIDE
KDM4E,DTC,PURPUROGALLIN
HTR2C,PharmGKB,ESCITALOPRAM
RGS4,DTC,METHYLDOPA
THPO,DTC,SB-224289
LIPC,NCI,ALCOHOL
NFE2L2,DTC,CHEMBL398363
CSNK2A2,TTD,
NTRK1,TTD,
HDAC2,DTC,CHEMBL117487
KDM5A,TTD,
MUC1,TTD,
CYP2C19,DTC,BIOCHANIN
RAD52,DTC,CHEMBL1256735
HDAC1,GuideToPharmacology,CUDC-101
ACVR1,DTC,OSI-632
ADRA2A,TdgClinicalTrial,SENREBOTASE
HRH1,GuideToPharmacology,DOXEPIN
ABCB1,PharmGKB,
EDNRA,GuideToPharmacology,ZIBOTENTAN
TRPC5,GuideToPharmacology,
CBX1,DTC,PURPURIN
DRD2,TTD,NAPHAZOLINE
GABRR1,TdgClinicalTrial,TRIAZOLAM
ITGAL,DTC,CASEARINONE B
EGFR,TTD,
HSD17B10,DTC,PYRENE
AR,DTC,FLUOCINOLONE ACETONIDE
TUBA1A,TdgClinicalTrial,MEBENDAZOLE
DRD2,TTD,PHENYLEPHRINE
DRD2,GuideToPharmacology,QUINPIROLE
PDE3A,TTD,VESNARINONE
PPARD,DTC,PROPACHLOR
HDAC6,TTD,
WRN,DTC,CHEMBL119878
GGCX,TEND,PHYTONADIONE
NAT1,ChemblInteractions,ORPHENADRINE HYDROCHLORIDE
CTH,PharmGKB,BUSULFAN
KDM4E,TTD,
HTR2C,GuideToPharmacology,ZIPRASIDONE
LTB4R,ChemblInteractions,AMELUBANT
SCN4A,ChemblInteractions,ESLICARBAZEPINE
KMO,TTD,
ALOX5,TTD,
P2RY14,GuideToPharmacology,
ALDH1A1,DTC,CHEMBL328710
ROCK2,GuideToPharmacology,
MTHFR,PharmGKB,PRAVASTATIN
NFKB1,DTC,SANGUINARIUM
GPR139,TTD,
MAP2K1,ClearityFoundationClinicalTrial,SELUMETINIB
CLCN2,ChemblInteractions,LUBIPROSTONE
CHRM3,GuideToPharmacology,ARECOLINE
PPARG,TdgClinicalTrial,
FGFR4,GuideToPharmacology,DEBIO-1347
GALR1,GuideToPharmacology,CHEMBL506495
CBX1,DTC,NICARDIPINE
GRIN2A,ChemblInteractions,NEBOGLAMINE
PDE4B,TdgClinicalTrial,
VDR,DTC,TANSHINONE IIA SULFONATE
MAPK11,PharmGKB,SORAFENIB
PROC,TTD,
HDAC11,TdgClinicalTrial,CUDC-101
PIK3CA,GuideToPharmacology,ALPELISIB
CYP2C19,DTC,MESTRANOL
AKR1B1,TTD,
PTEN,CIViC,TEMSIROLIMUS
GFAP,NCI,
AR,DTC,4-CHLOROMERCURIBENZOIC ACID
PIK3R1,ClearityFoundationBiomarkers,
PAX8,DTC,DOXORUBICIN HYDROCHLORIDE
GPBAR1,GuideToPharmacology,
PTGER4,GuideToPharmacology,
AR,ChemblInteractions,TESTOSTERONE UNDECANOATE
CYP2C19,DTC,CHEMBL515505
IDH1,DTC,CHEMBL578512
ADAMTS5,GuideToPharmacology,
ALPL,DTC,CHEMBL307893
ABL1,TEND,DASATINIB
HTR1A,GuideToPharmacology,
EGFR,GuideToPharmacology,POZIOTINIB
NQO1,TEND,MENADIONE
BRAF,CIViC,
TSPO,TTD,
PTGER1,TTD,ECRAPROST
TERT,TTD,
KDR,ChemblInteractions,TELBERMIN
CBR1,GuideToPharmacology,WEDELOLACTONE
SRC,DTC,CEDIRANIB
CA1,TEND,DICHLORPHENAMIDE
SLC5A1,TTD,LICOGLIFLOZIN
NFE2L2,DTC,LOTEPREDNOL ETABONATE
PLEKHJ1,PharmGKB,CANDESARTAN
MAOA,TTD,
IGHE,GuideToPharmacology,LIGELIZUMAB
LHCGR,ChemblInteractions,CHORIOGONADOTROPIN ALFA
G6PD,FDA,SULFAMETHOXAZOLE
EHMT2,DTC,LISINOPRIL HYDRATE
STAT3,TTD,
PRLHR,GuideToPharmacology,
KCNJ1,TTD,
HPGD,DTC,CHEMBL592106
CA5A,GuideToPharmacology,HISTIDINE
HTR1D,ChemblInteractions,
FLT1,TdgClinicalTrial,
KDR,ChemblInteractions,FRUQUINTINIB
TYR,TTD,
TPH2,GuideToPharmacology,FENFLURAMINE
JUN,DTC,DIPHENHYDRAMINE HYDROCHLORIDE
CYP2D6,DTC,RANITIDINE
CYP2D6,DTC,NS-398
L3MBTL1,DTC,CHEMBL1609016
CYP2C9,DTC,CHEMBL421215
GMNN,DTC,CHEMBL582276
PROKR1,GuideToPharmacology,
CHEK2,GuideToPharmacology,PREXASERTIB
KLK4,TTD,
AKT1,GuideToPharmacology,GSK-690693
APH1A,TTD,
CHRM1,TEND,BENZQUINAMIDE
,TTD,
NTRK1,NCI,
DPP4,ChemblInteractions,OMARIGLIPTIN
FEN1,DTC,CHEMBL223575
KDR,TEND,SORAFENIB
CCR5,ChemblInteractions,MARAVIROC
HDAC4,TALC,CUDC-101
KDM4A,DTC,MONTELUKAST SODIUM
RACGAP1,DTC,ISOORIENTIN
FCGR3A,NCI,
MAPK11,ChemblInteractions,RWJ-67657
CDK8,DTC,ILORASERTIB
CASP3,PharmGKB,CELECOXIB
KDM4E,DTC,CHEMBL1256783
CXCR1,GuideToPharmacology,REPARIXIN
NPR1,GuideToPharmacology,
EHMT2,DTC,DYCLONINE
SMAD3,DTC,CHEMBL579837
YES1,DTC,GSK-625137A
IKBKE,GuideToPharmacology,
ADORA2B,GuideToPharmacology,ZM-241385
EHMT2,DTC,CHEMBL606456
HLA-A,PharmGKB,
CHRM5,TTD,
GRM7,GuideToPharmacology,
P4HTM,ChemblInteractions,DAPRODUSTAT
VDR,DTC,ISOLIQUIRITIGENIN
NPSR1,DTC,CHEMBL584458
RAB9A,DTC,CHEMBL405317
DRD2,TEND,SERTINDOLE
KDM4E,DTC,ETHYLNOREPINEPHRINE HYDROCHLORIDE
PPARA,DTC,T091317
AVPR2,ChemblInteractions,TOLVAPTAN
CYP3A5,PharmGKB,
FLT1,ClearityFoundationClinicalTrial,NINTEDANIB
PRKCD,DTC,TAE-684
DRD2,TEND,REMOXIPRIDE
HSD17B10,DTC,CHEMBL408850
TLR9,TTD,
HMGCR,GuideToPharmacology,
STAT3,TTD,
XIAP,TTD,
MPHOSPH8,DTC,SB-224289
ADRB1,TTD,OXPRENOLOL
GRIN3A,TdgClinicalTrial,LATREPIRDINE
PIK3CG,ChemblInteractions,TG100-115
SRPK1,DTC,TAE-684
DPP4,TdgClinicalTrial,VILDAGLIPTIN
CPB2,TTD,"UK-396,082"
NR3C1,TdgClinicalTrial,BUDESONIDE
LTK,DTC,PAZOPANIB
CYP1A1,NCI,
PTEN,JAX-CKB,TEMSIROLIMUS
ABL1,DTC,PAZOPANIB
CLK2,DTC,GATIFLOXACIN
TUBB1,TEND,PACLITAXEL
SMN2,DTC,APIGENIN
CYP3A43,NCI,GINKGO
CYP1A2,DTC,FIPEXIDE
MAPT,DTC,ERGOCRYPTINE
ADRA1A,TdgClinicalTrial,ASENAPINE
NFKB1,DTC,DYRENE
HTR2A,GuideToPharmacology,
IDH1,JAX-CKB,
GRM1,NCI,
MPHOSPH8,DTC,BAY-11-7085
ALDH1A1,DTC,CHLORAMPHENICOL
HSD17B10,DTC,MYRICETIN
ALPG,DTC,CHEMBL1408276
SCN5A,TEND,FOSPHENYTOIN
PIK3R3,MyCancerGenome,PICTILISIB
APBB1,TTD,TRIMETHOPRIM/SULFADOXINE
VDR,DTC,ISOPROTERENOL
,TTD,DIHYDROCODEINE
LYN,DTC,CYC-116
GRIN2D,GuideToPharmacology,
GSTP1,NCI,
GALR1,GuideToPharmacology,
,TTD,
GABRQ,ChemblInteractions,PROPOFOL
UGCG,TTD,
CYP2D6,FDA,TRIMIPRAMINE
GABRA3,GuideToPharmacology,MK-0777
,TTD,
PTGS1,ChemblInteractions,SUPROFEN
GABRA5,ChemblInteractions,CHLORDIAZEPOXIDE
TH,PharmGKB,METHYLPHENIDATE
GABRA1,TdgClinicalTrial,CLONAZEPAM
JAK2,JAX-CKB,PEMBROLIZUMAB
PIK3CA,MyCancerGenome,INK-1117
MUC1,TTD,
,ClearityFoundationClinicalTrial,
TOP1,PharmGKB,7-ETHYL-10-HYDROXYCAMPTOTHECIN
CYP2C9,DTC,GW282974X
PIM1,TTD,
,TTD,
HSD17B10,DTC,BILIRUBIN
DRD3,PharmGKB,METHAMPHETAMINE
TUBA3E,ChemblInteractions,VINCRISTINE SULFATE
IL2,NCI,
AHR,DTC,1-NAPHTHYLISOTHIOCYANATE
HPGD,DTC,4-CHLOROMERCURIBENZOIC ACID
ERBB4,PharmGKB,PALIPERIDONE
FSHR,TEND,MENOTROPINS
ALOX5AP,TdgClinicalTrial,
RXRG,ChemblInteractions,ALITRETINOIN
PRSS2,TdgClinicalTrial,
ADRA1B,TdgClinicalTrial,TAMSULOSIN
HRH1,TdgClinicalTrial,BROMODIPHENHYDRAMINE
ITPA,PharmGKB,
CYP1A1,PharmGKB,DACARBAZINE
OPRL1,GuideToPharmacology,
AKT3,GuideToPharmacology,IPATASERTIB
NR3C1,ChemblInteractions,BETAMETHASONE BENZOATE
NFE2L2,DTC,BECLOMETHASONE DIPROPIONATE
RPS6KB1,ChemblInteractions,LY-2780301
BDNF,NCI,CAPSAICIN
TLR2,TTD,
CYP2C19,DTC,METARAMINOL
PAK1,DTC,AZD-1152-HQPA
CHRM1,ChemblInteractions,PILOCARPINE HYDROCHLORIDE
GABRA1,GuideToPharmacology,
VDR,DTC,BENSERAZIDE HYDROCHLORIDE
IFNB1,TTD,
CYP3A4,DTC,FLUOXETINE HYDROCHLORIDE
,TTD,CEFUROXIME
CCR4,GuideToPharmacology,
TUBB1,ChemblInteractions,TRASTUZUMAB EMTANSINE
CTNNB1,JAX-CKB,
GABRG3,TTD,METHARBITAL
PIK3CA,GuideToPharmacology,GSK-1059615
KCNJ10,TTD,GLISOXEPIDE
MPO,TTD,
HMGCR,TTD,
RAB9A,DTC,CHEMBL1333386
CYP2D6,DTC,TICRYNAFEN
HTT,TTD,FIMEPINOSTAT
GABRA3,GuideToPharmacology,
GABRA3,TEND,MEPROBAMATE
BRD4,TTD,
ITGB2,NCI,
PAH,TEND,SAPROPTERIN
PTGDR,TTD,
ITGA4,TTD,
GABRA1,TEND,CLORAZEPIC ACID
DNASE1L3,TTD,
GCK,TTD,DORZAGLIATIN
GRIN2D,ChemblInteractions,ESKETAMINE HYDROCHLORIDE
ACHE,TTD,
PMS2,CIViC,NIVOLUMAB
RRM2,ChemblInteractions,HYDROXYUREA
CSF2RA,ChemblInteractions,SARGRAMOSTIM
IL2,TTD,
IFNG,NCI,CYCLOPHOSPHAMIDE
CBX1,DTC,ROTENONE
CCKBR,PharmGKB,OLANZAPINE
APAF1,DTC,BENZETHONIUM CHLORIDE
LYN,DTC,ILORASERTIB
EDNRB,NCI,PACLITAXEL
CDK1,TTD,RGB-286638
CHRM5,GuideToPharmacology,HEXOCYCLIUM
IL2RG,ChemblInteractions,DENILEUKIN DIFTITOX
PTGES3,NCI,GENISTEIN
MAGEA3,TTD,ASTUPROTIMUT-R
PTEN,JAX-CKB,PF-04691502
COMT,PharmGKB,FLUVOXAMINE
F11,TdgClinicalTrial,
BCL2,NCI,HYDROQUINONE
KDR,TALC,ENMD-2076
PRPS1,CIViC,THIOGUANINE
GALR1,GuideToPharmacology,
NPR1,ChemblInteractions,NESIRITIDE
RRM2,ChemblInteractions,FLUDARABINE PHOSPHATE
,TTD,DIDANOSINE
MTOR,DTC,QUINACRINE
IDH1,DTC,CP-55940
ALB,TTD,
ADRB1,TdgClinicalTrial,ACEBUTOLOL
OPRD1,GuideToPharmacology,
CAPN10,PharmGKB,METFORMIN
IDO2,TTD,
NDUFB2,ChemblInteractions,NV-128
TNFSF13,TdgClinicalTrial,ATACICEPT
KIT,TTD,
FLT3,MyCancerGenome,PEXIDARTINIB
EHMT2,DTC,WIN-552122
AVPR1A,GuideToPharmacology,
PSMB4,ChemblInteractions,OPROZOMIB
PGR,GuideToPharmacology,
GLP1R,GuideToPharmacology,
POLB,DTC,CHEMBL1162298
NQO1,PharmGKB,
PDCD1,TTD,SPARTALIZUMAB
SMAD3,DTC,HELENALIN
POLB,DTC,ACID BLUE 129
KCNK10,GuideToPharmacology,HALOTHANE
NR3C2,ChemblInteractions,DESOXYCORTICOSTERONE PIVALATE
SI,NCI,DEXAMETHASONE
VSIR,TTD,ONVATILIMAB
RRP7A,PharmGKB,METHYLPHENIDATE
PAX8,DTC,DIGOXIGENIN
ADRA1B,TdgClinicalTrial,DAPIPRAZOLE
DNMT1,TTD,GUADECITABINE
MAP2K1,TdgClinicalTrial,WX-554
C3AR1,GuideToPharmacology,
INSR,TTD,
BAZ2B,DTC,ELLIPTECINE
ATAD5,DTC,CHEMBL1492017
PSMB2,ChemblInteractions,CARFILZOMIB
ABCC1,DTC,NEVIRAPINE
NR3C1,TTD,
PGR,FDA,EXEMESTANE
CDK8,ChemblInteractions,RONICICLIB
HPSE,NCI,
CHRM2,GuideToPharmacology,
ROS1,TTD,
SLC23A1,TTD,
CYP2C19,DTC,DUP-697
CASP9,ChemblInteractions,NIVOCASAN
HTT,DTC,CHEMBL584442
SCN1A,PharmGKB,LEVETIRACETAM
MAOA,ChemblInteractions,PHENELZINE SULFATE
ASIC3,GuideToPharmacology,AMILORIDE
CYP3A4,DTC,CHEMBL186526
ADRA1B,ChemblInteractions,DROXIDOPA
KCNJ11,ChemblInteractions,GLIPIZIDE
NR5A2,DTC,CHEMBL597670
GRIN3B,ChemblInteractions,INDANTADOL
GRIA1,ChemblInteractions,ZONAMPANEL
BTK,TTD,
FAAH,TTD,
SOST,TTD,
KRAS,JAX-CKB,
DRD2,ChemblInteractions,OLANZAPINE
SIK2,GuideToPharmacology,
SLC2A1,NCI,
FGF2,NCI,REBAMIPIDE
HPGD,DTC,CHEMBL601618
PDE4B,TdgClinicalTrial,DYPHYLLINE
,TTD,
PPARG,DTC,BENSULIDE
MAPK3,DTC,CHEMBL2333548
,TTD,NIROGACESTAT
HCRTR1,TTD,
ADK,DTC,DABIGATRAN
FHIT,NCI,
GABRB2,TdgClinicalTrial,CLOBAZAM
VDR,DTC,SANGUINARIUM
TACR1,TTD,
MAP4K5,DTC,CYC-116
NAT2,NCI,ALCOHOL
GLP1R,TTD,
HTR4,TTD,
HTR1A,GuideToPharmacology,ROXINDOLE
PIM3,TdgClinicalTrial,VADIMEZAN
P2RX7,ChemblInteractions,GSK1482160
HTR2A,GuideToPharmacology,MIANSERIN
TSHR,DTC,SIBUTRAMINE HYDROCHLORIDE
ABCA1,PharmGKB,PRAVASTATIN
CNR2,TTD,
ADRA2C,GuideToPharmacology,GUANFACINE
RAD54L,DTC,CHEMBL146525
AGTR1,GuideToPharmacology,
SCN4A,ChemblInteractions,BENOXINATE HYDROCHLORIDE
S1PR3,TTD,
VDR,DTC,4-METHOXYDALBERGIONE
OPRK1,GuideToPharmacology,
SREBF1,PharmGKB,FLUVASTATIN
RYR1,FDA,SEVOFLURANE
KCNH2,DTC,BENZTROPINE MESYLATE
AKT1,JAX-CKB,
CD19,TTD,
PIK3CA,JAX-CKB,
GMNN,DTC,CHEMBL486706
NR3C1,GuideToPharmacology,DESOXIMETASONE
ALK,MyCancerGenome,ENSARTINIB
CDK7,TTD,
GSK3B,TTD,
GMNN,DTC,CINACALCET
ATAD5,DTC,EMETINE
,TTD,
HTR1A,GuideToPharmacology,LISURIDE
GABRB1,TdgClinicalTrial,HALAZEPAM
APBA1,DTC,HESPERIDIN
CYP2D6,DTC,PARAROSANILINE
CYP2C19,DTC,CHEMBL372797
EHMT2,DTC,HISTAMINE
PLG,TEND,UROKINASE
SCN9A,TTD,
IL2RA,ChemblInteractions,DACLIZUMAB
NAT2,PharmGKB,EFAVIRENZ
OPRM1,TEND,
NR1H4,GuideToPharmacology,TROPIFEXOR
FTO,PharmGKB,
OPRM1,TdgClinicalTrial,
GNAQ,JAX-CKB,VERTEPORFIN
CD3G,TdgClinicalTrial,OTELIXIZUMAB
TGM2,NCI,DEFEROXAMINE
PDE3B,ChemblInteractions,THEOPHYLLINE
TSPO,TTD,
BLM,DTC,BAICALEIN
,TTD,
CALCR,GuideToPharmacology,
AURKC,GuideToPharmacology,
HRH1,TdgClinicalTrial,PHENIRAMINE
ADRB1,TEND,LEVOBUNOLOL
VDR,DTC,FLUACIZINE
NOS2,TTD,GW-274150
USP1,DTC,CLOFENOXYDE
NFE2L2,DTC,PHENOXYCARB
GCGR,TTD,
BRAF,JAX-CKB,
CYP1A2,DTC,CHEMBL404505
GPR55,GuideToPharmacology,
BTK,TTD,
ADRA1D,TEND,DEBRISOQUIN
GABRA4,ChemblInteractions,HALAZEPAM
MPO,NCI,
TRPM3,GuideToPharmacology,SPHINGOSINE
ARAF,MyCancerGenome,ENCORAFENIB
GRP,NCI,NIFEDIPINE
DNASE1L3,TTD,
MGAM,DTC,BAICALEIN
PLK1,DTC,CHEMBL1486366
AURKB,DTC,CHEMBL202721
DPP4,TTD,
CYP1A2,DTC,METHOXSALEN
SLC15A1,GuideToPharmacology,
CCL17,NCI,
PTH1R,DTC,9-AMINOCAMPTOTHECIN
MTOR,CancerCommons,DACTOLISIB
CNR1,TTD,
TYRO3,TTD,
KDM4A,DTC,CHLOROGENIC ACID
PSMD14,ChemblInteractions,CARFILZOMIB
,TALC,EMEPEPIMUT-S
OPRD1,GuideToPharmacology,
GABRA3,GuideToPharmacology,
EHMT2,DTC,CHEMBL1328677
CD19,TTD,
MAPK14,DTC,SORAFENIB
,TTD,
DRD2,NCI,CLOZAPINE
HSD17B10,DTC,"3-HYDROXY-3',4'-DIMETHOXYFLAVONE"
FFAR4,GuideToPharmacology,
TOP1,DTC,O-METHYLCALOTHRIXIN A
BTK,TTD,ACALABRUTINIB
FKBP5,PharmGKB,ESCITALOPRAM
RGS4,DTC,PICEATANNOL
MPHOSPH8,DTC,PROCHLORPERAZINE
HTR1E,GuideToPharmacology,FLUSPIRILENE
FCGR3A,NCI,
RPTOR,PharmGKB,EVEROLIMUS
PIK3R1,ChemblInteractions,RG-7666
CCL2,TTD,
ACHE,TTD,EDROPHONIUM
ALAD,TTD,
CYP19A1,TTD,
,TTD,TETRODOTOXIN
CYP1A2,DTC,CHEMBL85194
,TTD,RADOTINIB
PPARD,DTC,DICHLOROPHEN
STAT1,TdgClinicalTrial,
VDR,NCI,
GPR55,DTC,FENDILINE HYDROCHLORIDE
NFE2L2,DTC,METHIOCARB
CD19,TTD,
CYP2C19,DTC,LABETALOL
NTRK2,TTD,
FEN1,DTC,GOSSYPOL
PTHLH,NCI,
PPARG,GuideToPharmacology,
P2RX7,GuideToPharmacology,
NR1I2,PharmGKB,
VDR,PharmGKB,
BACE1,DTC,SOPHORAFLAVANONE G
IL2,NCI,
EGFR,ChemblInteractions,PANITUMUMAB
NR1H3,TTD,
SCN5A,ChemblInteractions,DRONEDARONE HYDROCHLORIDE
ITGB3,PharmGKB,ABCIXIMAB
,ClearityFoundationClinicalTrial,
ALG10,PharmGKB,GEMCITABINE
TP53,PharmGKB,FLUOROURACIL
BRD4,GuideToPharmacology,
TNF,NCI,MIDAZOLAM
SYT2,TdgClinicalTrial,
ATAD5,DTC,CHEMBL604321
CSF1R,TTD,
RARG,GuideToPharmacology,
SENP7,DTC,DIHYDROXANTHOHUMOL
,TTD,VS-5584
,TTD,
ADRA1A,TEND,LISDEXAMFETAMINE
PTGS1,TdgClinicalTrial,MESALAMINE
PLK1,DTC,CHEMBL119878
CYTH2,DTC,CLOTRIMAZOLE
RET,TEND,IMATINIB
PTGS2,TTD,TOLMETIN
MT-ND4,ChemblInteractions,METFORMIN HYDROCHLORIDE
SMAD3,DTC,TRICLOCARBAN
BCL2,NCI,PENTOXIFYLLINE
CYP2D6,PharmGKB,ALCOHOL
RXFP4,GuideToPharmacology,
IKZF1,CIViC,FLUDARABINE
KRAS,OncoKB,COBIMETINIB
TTR,FDA,TAFAMIDIS
PTGER3,GuideToPharmacology,CLOPROSTENOL
ADRB2,GuideToPharmacology,LEVOBUNOLOL
TSHR,DTC,CHEMBL1169388
IL6R,TTD,VOBARILIZUMAB
CYP17A1,GuideToPharmacology,GALETERONE
ATP7A,NCI,CARBOPLATIN
GABRA4,TdgClinicalTrial,GANAXOLONE
KCNH2,DTC,ORPHENADRINE HYDROCHLORIDE
CYP2C19,DTC,CHEMBL406845
ALK,GuideToPharmacology,TAE-684
KCNH2,DTC,NORTRIPTYLINE HYDROCHLORIDE
PDE2A,TTD,
NR1I3,DTC,ETHINYL ESTRADIOL
CD19,TTD,
FGF3,CIViC,SORAFENIB
PTGS2,ChemblInteractions,MELOXICAM
ERBB2,NCI,EMODIN
HDAC3,TALC,CUDC-101
TUBB2B,ChemblInteractions,BRENTUXIMAB VEDOTIN
MAOA,TTD,
TNFRSF10A,TTD,MAPATUMUMAB
CHEK1,GuideToPharmacology,AZD-7762
,TALC,LINIFANIB
TSPO,TTD,
GRM5,TTD,
GABRG1,TdgClinicalTrial,ALPRAZOLAM
CNR1,TTD,
TGFBR1,GuideToPharmacology,
PPARD,DTC,BISPHENOL A
GABRG3,TdgClinicalTrial,OXAZEPAM
ATAD5,DTC,CHEMBL1493528
PDGFRB,DTC,SOTRASTAURIN
TPH1,PharmGKB,CITALOPRAM
CYP2D6,PharmGKB,KETOROLAC
BCL2,NCI,
TYR,TTD,
POLK,DTC,IODOPHTHALEIN
RAPGEF4,DTC,CLOTRIMAZOLE
STK11,DoCM,EVEROLIMUS
PDPK1,GuideToPharmacology,
CHRM5,GuideToPharmacology,
,TTD,
DHFR,TdgClinicalTrial,PRALATREXATE
CYP1A2,PharmGKB,ESCITALOPRAM
CDK7,ChemblInteractions,ZOTIRACICLIB
CDKN2A,ClearityFoundationBiomarkers,ABEMACICLIB
AR,DTC,DIDECYLDIMETHYLAMMONIUM CHLORIDE
CHRM1,TEND,SUXAMETHONIUM
ALK,OncoKB,CRIZOTINIB
TUBB,TTD,SIMOTAXEL
CP,NCI,DEXRAZOXANE
FLT3,GuideToPharmacology,KW-2449
DRD1,DTC,PROTRIPTYLINE
NFKB1,DTC,ISORHAMNETIN
RXRA,TEND,ALITRETINOIN
IDO1,TTD,
BAZ2B,DTC,CHEMBL1412489
MCHR1,GuideToPharmacology,
CYP2D6,DTC,CLEBOPRIDE
EDNRA,ChemblInteractions,AMBRISENTAN
KRAS,JAX-CKB,BUPARLISIB
CYB5R2,PharmGKB,PRIMAQUINE
